sample_rate_hz,frequency_hz,analog_magnitude_db,measured_magnitude_db,legacy_analog_magnitude_db,analog_phase_deg,measured_phase_deg,magnitude_error_db,phase_error_deg
48000,346,-0.00117407506787,-0.000919346097974,-0.000958599287549,-1.05062450334,-1.05062704956,0.000254728969894,-2.54621790825e-06
48000,377,-0.00139249714023,-0.00109829519677,-0.00113804446197,-1.15409533264,-1.15409958545,0.000294201943457,-4.25281758712e-06
48000,411,-0.0016537957358,-0.00131528529885,-0.00135254013827,-1.26679790099,-1.26680264316,0.000338510436958,-4.74216869001e-06
48000,448,-0.00196393298595,-0.00157706408229,-0.00160698073811,-1.38872544385,-1.38873217687,0.000386868903663,-6.73301733617e-06
48000,488,-0.00232939489976,-0.00189093363204,-0.0019066909227,-1.51988506422,-1.51989351654,0.000438461267723,-8.45232867932e-06
48000,532,-0.00276757062481,-0.00227435143262,-0.0022659334613,-1.6635513088,-1.66356207258,0.000493219192188,-1.07637716055e-05
48000,580,-0.00328874940947,-0.00273958247747,-0.00269314623552,-1.81971174544,-1.81972559511,0.000549166932006,-1.38496761152e-05
48000,632,-0.00390414867357,-0.00330038631342,-0.00319752952868,-1.98836540931,-1.98838333028,0.000603762360155,-1.79209682192e-05
48000,689,-0.00463935674763,-0.00398445861367,-0.00380006240007,-2.17274917851,-2.17277262061,0.000654898133958,-2.34421056595e-05
48000,752,-0.00552568175834,-0.00482642821826,-0.00452641180658,-2.37607613593,-2.37610659968,0.000699253540087,-3.0463746459e-05
48000,819,-0.00655315840879,-0.00582109651768,-0.00536842491434,-2.59188753565,-2.59192722388,0.000732061891101,-3.96882261138e-05
48000,893,-0.00778957758789,-0.00703787877097,-0.00638167527156,-2.82983871776,-2.82988962456,0.000751698816927,-5.09068013717e-05
48000,974,-0.00926509105847,-0.00850839754418,-0.00759089968883,-3.08990086491,-3.08996679925,0.000756693514283,-6.59343367139e-05
48000,1062,-0.0110126443843,-0.0102632217195,-0.00902313623885,-3.37204915056,-3.37213467277,0.000749422664754,-8.55222116853e-05
48000,1158,-0.0130905201726,-0.0123523582702,-0.0107262050951,-3.67945940099,-3.67957034111,0.000738161902386,-0.000110940113499
48000,1262,-0.0155431643993,-0.0148046515103,-0.0127366094771,-4.01209354022,-4.0122370503,0.000738512888968,-0.000143510083743
48000,1376,-0.0184721327703,-0.0176983153712,-0.0151376998718,-4.37629525947,-4.37648077365,0.000773817399151,-0.000185514176322
48000,1500,-0.0219430637745,-0.0210706929624,-0.0179834359225,-4.77199364332,-4.77223388356,0.000872370812096,-0.000240240234327
48000,1635,-0.0260588289391,-0.0249995532183,-0.0213583686079,-5.20229296493,-5.20260358004,0.00105927572078,-0.000310615108553
48000,1783,-0.0309734322706,-0.02962839689,-0.0253890832634,-5.67344900425,-5.67385126667,0.00134503538062,-0.000402262422198
48000,1943,-0.0367585741099,-0.0350567158567,-0.0301347983419,-6.18213227825,-6.18265229817,0.00170185825317,-0.000520019912213
48000,2119,-0.0436865313273,-0.0416138281222,-0.0358194627296,-6.74086569509,-6.74153924241,0.00207270320513,-0.000673547316438
48000,2310,-0.051870801347,-0.0495018366736,-0.0425370414361,-7.34622108103,-7.34709198105,0.0023689646734,-0.000870900022474
48000,2518,-0.0615676206379,-0.059022878939,-0.0504989946449,-8.00422532164,-8.00535124529,0.00254474169887,-0.00112592364911
48000,2745,-0.0730771909912,-0.0704170283222,-0.0599534386955,-8.72079339042,-8.7222486136,0.00266016266905,-0.00145522317932
48000,2992,-0.0866915885815,-0.0837990706844,-0.071142558851,-9.49855525386,-9.50043487069,0.00289251789713,-0.00187961683212
48000,3262,-0.102862542661,-0.0994639627481,-0.084440796164,-10.3462738363,-10.3487020898,0.00339857991256,-0.00242825358146
48000,3557,-0.122053285079,-0.1179826533,-0.100233593413,-11.2693337197,-11.2724706698,0.00407063177888,-0.00313695012562
48000,3877,-0.144645290728,-0.140124202844,-0.118840992684,-12.2666303439,-12.2706751278,0.0045210878845,-0.00404478386888
48000,4227,-0.17143855728,-0.166835943263,-0.140930419668,-13.352324472,-13.3575404014,0.0046026140169,-0.00521592940527
48000,4608,-0.203035334862,-0.198239070648,-0.1670102573,-14.52768429,-14.5344020304,0.00479626421434,-0.00671774039038
