series,source,x,y
envelope,Septum / reconstructed MIDI,1.315,0.1167982192972921
envelope,Septum / reconstructed MIDI,1.325,0.11510907508762953
envelope,Septum / reconstructed MIDI,1.335,0.10468162736230154
envelope,Septum / reconstructed MIDI,1.345,0.09632812684200749
envelope,Septum / reconstructed MIDI,1.355,0.079956066455934
envelope,Septum / reconstructed MIDI,1.365,0.07324620660455358
envelope,Septum / reconstructed MIDI,1.375,0.07034463114448532
envelope,Septum / reconstructed MIDI,1.385,0.06945198644901636
envelope,Septum / reconstructed MIDI,1.395,0.07565596871453704
envelope,Septum / reconstructed MIDI,1.405,0.09141661191190242
envelope,Septum / reconstructed MIDI,1.415,0.09820144640941611
envelope,Septum / reconstructed MIDI,1.425,0.10812718400887647
envelope,Septum / reconstructed MIDI,1.435,0.11377914369847046
envelope,Septum / reconstructed MIDI,1.445,0.12160576972356915
